completed,dropped,mean_score,gender
925,266,6,7.63,Male
926,292,9,8.16,Male
929,616,41,6.41,Male
930,475,8,6.28,Male
931,179,8,6.53,Female
932,317,0,8.82,Male
934,217,4,7.86,Male
936,350,5,8.34,Male
938,131,16,7.04,Male
942,412,1,7.11,Male
943,185,45,7.12,Male
945,265,39,7.28,Male
946,120,0,8.73,Female
948,200,2,7.63,Male
949,558,200,5.95,Male
950,176,0,6.71,Male
951,433,58,7.08,Male
952,607,85,8.04,Male
953,149,13,8.06,Male
954,257,8,7.39,Male
955,504,10,6.78,Male
956,306,46,7.89,Male
957,310,19,7.99,Male
958,778,37,7.07,Female
961,336,8,8.41,Female
964,205,28,6.11,Female
966,620,46,8.32,Female
967,142,2,8.13,Male
968,242,2,7.1,Male
969,120,9,7.25,Female
971,113,9,5.97,Male
972,708,21,7.46,Female
973,556,92,6.09,Male
974,253,13,6.08,Male
976,220,77,5.34,Male
977,922,0,7.23,Male
978,250,10,5.38,Male
981,253,0,6.89,Male
982,769,16,6.0,Male
983,181,36,6.63,Male
984,456,66,6.58,Male
985,171,0,7.5,Male
989,239,9,7.63,Male
990,456,3,6.94,Male
991,603,5,7.36,Male
992,580,0,6.08,Male
993,349,5,6.4,Male
997,157,1,7.84,Male
998,489,35,7.43,Non-Binary
999,92,0,6.58,Male
1000,429,1,6.79,Male
1003,59,8,8.24,Male
1004,231,9,7.13,Male
1005,318,0,7.17,Male
1006,480,1,6.98,Male
1009,300,17,7.74,Female
1010,17,0,8.29,Male
1011,433,1,7.76,Male
1012,42,32,8.77,Male
1013,565,7,7.55,Male
1014,147,50,6.42,Male
1015,459,34,7.79,Female
1018,472,14,6.13,Female
1020,115,29,6.73,Male
1024,118,6,7.27,Male
1026,189,17,6.54,Male
1027,402,0,7.71,Male
1028,357,0,7.73,Male
1030,354,22,7.93,Male
1031,341,5,6.12,Female
1033,89,7,7.71,Male
1035,721,33,6.58,Male
1036,645,65,7.04,Male
1037,210,6,9.5,Male
1038,90,20,6.74,Male
1039,325,80,6.68,Male
1040,640,10,7.8,Male
1045,207,43,7.66,Male
1046,265,0,7.33,Female
1047,432,0,6.99,Male
1048,269,20,6.39,Non-Binary
1049,67,0,8.86,Male
1050,660,43,7.42,Male
1053,694,1,6.86,Male
1054,675,31,8.48,Female
1055,214,3,8.5,Male
1057,400,3,5.8,Male
1058,106,9,7.25,Male
1059,83,4,6.44,Female
1060,273,6,7.89,Male
1061,437,0,6.75,Male
1062,337,20,5.9,Male
1063,260,28,8.16,Female
1064,135,21,7.4,Female
1065,61,3,7.56,Female
1067,193,4,7.59,Male
1068,76,4,7.2,Male
1070,136,9,7.24,Male
